[17-09-2026 | 18:14:21] Temp=20.3°C  Hum=88.3%  => Deshumidificador ON
[17-09-2026 | 18:14:24] Temp=33.8°C  Hum=42.4%  => Ventilador ON
[17-09-2026 | 18:14:27] Temp=16.4°C  Hum=43.0%  => Calefacción ON
[17-09-2026 | 18:14:30] Temp=35.8°C  Hum=80.2%  => A/C + Deshumidificador ON
[17-09-2026 | 18:14:33] Temp=23.7°C  Hum=50.0%  => Todo estable, sistema apagado
[17-09-2026 | 18:14:36] Temp=13.1°C  Hum=76.2%  => Calefacción + Deshumidificador ON
[17-09-2026 | 18:14:39] Temp=29.7°C  Hum=58.7%  => Ventilador ON
[17-09-2026 | 18:14:42] Temp=35.7°C  Hum=61.5%  => Ventilador ON
[17-09-2026 | 18:14:45] Temp=14.5°C  Hum=32.1%  => Calefacción + Humidificador ON
[17-09-2026 | 18:14:48] Temp=35.3°C  Hum=90.9%  => A/C + Deshumidificador ON
[17-09-2026 | 18:14:51] Temp=29.8°C  Hum=54.8%  => Ventilador ON
[17-09-2026 | 18:14:54] Temp=14.0°C  Hum=30.8%  => Calefacción + Humidificador ON
[17-09-2026 | 18:14:57] Temp=30.2°C  Hum=29.7%  => A/C + Humidificador ON
[17-09-2026 | 18:15:00] Temp=13.1°C  Hum=29.8%  => Calefacción + Humidificador ON
[17-09-2026 | 18:15:03] Temp=32.6°C  Hum=45.0%  => Ventilador ON
[17-09-2026 | 18:15:06] Temp=36.2°C  Hum=62.6%  => Ventilador ON
[17-09-2026 | 18:15:09] Temp=23.9°C  Hum=87.0%  => Deshumidificador ON
[17-09-2026 | 18:15:12] Temp=14.4°C  Hum=25.7%  => Calefacción + Humidificador ON
[17-09-2026 | 18:15:15] Temp=13.4°C  Hum=53.9%  => Calefacción ON
[17-09-2026 | 18:15:18] Temp=28.6°C  Hum=75.5%  => Deshumidificador ON
[17-09-2026 | 18:15:22] Temp=29.8°C  Hum=70.3%  => Ventilador encendido
[17-09-2026 | 18:15:25] Temp=35.5°C  Hum=60.4%  => Ventilador encendido
[17-09-2026 | 18:15:28] Temp=21.1°C  Hum=42.1%  => Todo estable, sistema apagado
[17-09-2026 | 18:15:31] Temp=26.0°C  Hum=80.3%  => Deshumidificador encendido
[17-09-2026 | 18:15:34] Temp=13.9°C  Hum=40.0%  => Calefacción encendido
[17-09-2026 | 18:15:37] Temp=16.8°C  Hum=82.6%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 18:15:40] Temp=31.2°C  Hum=36.6%  => Ventilador encendido
[17-09-2026 | 18:15:43] Temp=23.8°C  Hum=33.8%  => Humidificador encendido
[17-09-2026 | 18:15:46] Temp=14.0°C  Hum=40.1%  => Calefacción encendido
[17-09-2026 | 18:15:49] Temp=30.6°C  Hum=37.9%  => Ventilador encendido
[17-09-2026 | 18:15:52] Temp=29.3°C  Hum=52.8%  => Ventilador encendido
[17-09-2026 | 18:15:55] Temp=38.0°C  Hum=57.9%  => Ventilador encendido
[17-09-2026 | 18:15:58] Temp=15.8°C  Hum=43.4%  => Calefacción encendido
[17-09-2026 | 18:16:01] Temp=22.8°C  Hum=59.1%  => Todo estable, sistema apagado
[17-09-2026 | 18:16:04] Temp=22.8°C  Hum=53.8%  => Todo estable, sistema apagado
[17-09-2026 | 18:16:07] Temp=12.8°C  Hum=83.3%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 18:16:10] Temp=19.2°C  Hum=41.4%  => Todo estable, sistema apagado
[17-09-2026 | 18:16:13] Temp=27.4°C  Hum=73.4%  => Todo estable, sistema apagado
[17-09-2026 | 18:16:16] Temp=22.5°C  Hum=49.3%  => Todo estable, sistema apagado
[17-09-2026 | 18:16:19] Temp=13.1°C  Hum=71.5%  => Calefacción encendido
[17-09-2026 | 18:16:22] Temp=21.4°C  Hum=61.8%  => Todo estable, sistema apagado
[17-09-2026 | 18:16:25] Temp=21.5°C  Hum=78.4%  => Deshumidificador encendido
[17-09-2026 | 18:16:28] Temp=19.0°C  Hum=52.4%  => Todo estable, sistema apagado
[17-09-2026 | 18:16:31] Temp=19.8°C  Hum=36.4%  => Todo estable, sistema apagado
[17-09-2026 | 18:16:34] Temp=24.3°C  Hum=25.9%  => Humidificador encendido
[17-09-2026 | 18:16:37] Temp=31.3°C  Hum=88.8%  => A/C + Deshumidificador encendido
[17-09-2026 | 18:16:40] Temp=15.3°C  Hum=84.7%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 18:16:43] Temp=32.5°C  Hum=66.2%  => Ventilador encendido
[17-09-2026 | 18:16:46] Temp=31.8°C  Hum=86.4%  => A/C + Deshumidificador encendido
