[17-09-2026 | 18:00:53] Temp=34.1°C  Hum=27.1%  => 🥵🌵 A/C + Humidificador ON
[17-09-2026 | 18:00:56] Temp=33.3°C  Hum=42.8%  => 🥵 Ventilador ON
[17-09-2026 | 18:00:59] Temp=17.7°C  Hum=47.8%  => 😌 Todo estable, sistema apagado
[17-09-2026 | 18:01:02] Temp=34.9°C  Hum=25.4%  => 🥵🌵 A/C + Humidificador ON
[17-09-2026 | 18:01:05] Temp=18.4°C  Hum=87.7%  => 💧 Deshumidificador ON
[17-09-2026 | 18:01:08] Temp=26.5°C  Hum=71.7%  => 😌 Todo estable, sistema apagado
[17-09-2026 | 18:02:40] Temp=19.8°C  Hum=72.6%  => Todo estable, sistema apagado
[17-09-2026 | 18:02:43] Temp=26.1°C  Hum=38.4%  => Todo estable, sistema apagado
[17-09-2026 | 18:02:46] Temp=15.0°C  Hum=88.2%  => Calefacción + Deshumidificador ON
[17-09-2026 | 18:02:49] Temp=23.8°C  Hum=91.3%  => Deshumidificador ON
[17-09-2026 | 18:02:52] Temp=14.1°C  Hum=55.2%  => Calefacción ON
[17-09-2026 | 18:02:55] Temp=28.7°C  Hum=36.3%  => Todo estable, sistema apagado
[17-09-2026 | 18:02:58] Temp=14.5°C  Hum=91.5%  => Calefacción + Deshumidificador ON
[17-09-2026 | 18:03:01] Temp=35.3°C  Hum=78.5%  => A/C + Deshumidificador ON
[17-09-2026 | 18:03:04] Temp=33.8°C  Hum=48.7%  => Ventilador ON
[17-09-2026 | 18:03:07] Temp=33.9°C  Hum=80.6%  => A/C + Deshumidificador ON
[17-09-2026 | 18:03:10] Temp=35.2°C  Hum=36.6%  => Ventilador ON
[17-09-2026 | 18:03:13] Temp=20.6°C  Hum=68.7%  => Todo estable, sistema apagado
[17-09-2026 | 18:03:16] Temp=23.0°C  Hum=81.9%  => Deshumidificador ON
[17-09-2026 | 18:03:19] Temp=18.3°C  Hum=69.8%  => Todo estable, sistema apagado
[17-09-2026 | 18:03:23] Temp=18.8°C  Hum=89.0%  => Deshumidificador ON
[17-09-2026 | 18:03:26] Temp=27.4°C  Hum=48.3%  => Todo estable, sistema apagado
[17-09-2026 | 18:03:29] Temp=16.8°C  Hum=42.9%  => Calefacción ON
[17-09-2026 | 18:03:32] Temp=30.0°C  Hum=74.8%  => Ventilador ON
[17-09-2026 | 18:03:35] Temp=34.3°C  Hum=29.7%  => A/C + Humidificador ON
[17-09-2026 | 18:03:38] Temp=21.3°C  Hum=86.2%  => Deshumidificador ON
[17-09-2026 | 18:03:41] Temp=32.1°C  Hum=90.1%  => A/C + Deshumidificador ON
[17-09-2026 | 18:03:44] Temp=19.9°C  Hum=37.9%  => Todo estable, sistema apagado
[17-09-2026 | 18:03:47] Temp=29.5°C  Hum=69.7%  => Ventilador ON
[17-09-2026 | 18:03:50] Temp=15.4°C  Hum=93.8%  => Calefacción + Deshumidificador ON
[17-09-2026 | 18:03:53] Temp=24.6°C  Hum=94.9%  => Deshumidificador ON
[17-09-2026 | 18:03:56] Temp=15.4°C  Hum=59.6%  => Calefacción ON
[17-09-2026 | 18:03:59] Temp=31.7°C  Hum=52.1%  => Ventilador ON
